name,family,subsection,initial_release,official_website,repositories,overview
GNU Project (gnu.org),Systems Independent (GNU),,Project Announcement: Sep 1983; Development Start: Jan 1984; (FSF) Project Start: Oct 1985; GCC (GNU Compiler Collection): 1987; GNU Hurd: 1990,https://www.gnu.org,"GCC (GNU Compiler Collection) Project Page: https://gcc.gnu.org; GNU Hurd Project Page: https://www.gnu.org/software/hurd/; Official Source Hosting (Savannah, GNU): https://savannah.gnu.org; Source Hosting (Savannah, NonGNU): https://savannah.nongnu.org; Source Repository (GCC): https://gcc.gnu.org/git/gcc.git; Source Repository (Hurd): https://git.savannah.gnu.org/cgit/hurd","The GNU Project has been ""developing the free Unix style operating system GNU"" since 1983, so that computer users can have the freedom to share and improve the software they use; it was announced by Richard Stallman on September 27, 1983, with development starting that following January, and its four core freedoms — to run, study, redistribute, and improve software — have since become the founding template that most free-software licenses are built around. Savannah hosts official GNU packages at https://savannah.gnu.org, while https://savannah.nongnu.org provides the same infrastructure for free software projects outside the GNU Project itself."
GNU Guix,Systems Independent (GNU),,Project Start: Jun 2012; First Release: Jan 2013; First Stable System Release: May 2019,https://guix.gnu.org,Source Repository: https://git.guix.gnu.org; Codeberg: https://codeberg.org/guix/guix; Savannah (former home): https://cgit.git.savannah.gnu.org/cgit/guix.git,"GNU Guix — ""designed to give users more control over their general-purpose and specialized computing environments"" — is a transactional package manager and, as Guix System, a full distribution of the GNU operating system built on the Linux-libre kernel; for example, its declarative, Scheme-based package definitions let a user roll an entire system configuration back to an exact prior state with one command, the same transactional upgrade-and-rollback model it borrows from and builds upon Nix."
illumos,illumos Family,,Aug 2010,https://illumos.org,Source Repository: https://code.illumos.org; GitHub Mirror: https://github.com/illumos,"illumos describes itself on its own homepage as ""a Unix operating system which provides next-generation features for downstream distributions"", forked from OpenSolaris in August 2010 after Oracle discontinued that project; for example, it carries forward Solaris-era technologies like ZFS, DTrace, and Zones, and serves as the shared core — much like the Linux kernel does for Linux distributions — for every other entry in this section."
OpenIndiana,illumos Family,,Sep 2010,https://www.openindiana.org,GitHub: https://github.com/OpenIndiana,"OpenIndiana, billed on its own site as a ""Community-driven illumos Distribution"", is the most direct continuation of the old Project Indiana codename that OpenSolaris itself was born from; for example, it aims to be the de facto OpenSolaris successor installed on production servers where free security and bug fixes still matter, maintained by volunteers under the stewardship of the illumos Foundation."
SmartOS,illumos Family,,Aug 2011,https://tritondatacenter.com/smartos,GitHub: https://github.com/TritonDataCenter/smartos-live; Project Reference GitHub: https://github.com/TritonDataCenter,"SmartOS is billed by its maintainers as ""a lightweight container hypervisor that delivers industrial grade security"", combining OpenSolaris-derived Zones with bhyve and KVM virtualization; for example, it boots entirely into RAM rather than from disk, which makes an operating system upgrade as simple as rebooting into a newer image, and it serves as the engine behind Triton DataCenter's cloud infrastructure."
OmniOS,illumos Family,,Apr 2012,https://omnios.org,GitHub: https://github.com/omniosorg,"OmniOS describes itself on its own homepage as an ""illumos based server OS with ZFS, Bhyve, DTrace, Crossbow, SMF and Linux zone support"", deliberately built for server class hardware rather than laptops or workstations; for example, every fourth stable release is designated a Long-Term Support (LTS) build supported for three years, letting operators schedule upgrades on their own timeline instead of chasing every release."
Tribblix,illumos Family,,Oct 2012,https://www.tribblix.org,GitHub: https://github.com/tribblix,"Tribblix — ""the retro illumos distribution"" — is an independent illumos-based operating system created and still single-handedly maintained by Peter Tribble; for example, its software is installed in themed bundles called ""overlays"" rather than individual packages, and it deliberately keeps an old-school feel — including classic root logins and lightweight apps like AbiWord — while running modern illumos technologies such as ZFS, Zones, and DTrace underneath, on both x86 and legacy SPARC hardware."
Xen,Xen-Based Systems,,Oct 2003,https://xenproject.org/,Source Repository: https://xenbits.xen.org; GitHub Mirror: https://github.com/xen-project,"The Xen Project describes its own hypervisor as ""an open source hypervisor for infrastructure, embedded, security-sensitive, and virtualization platforms""; for example, it is the only type-1, bare-metal hypervisor available as open source, and it powers some of the largest commercial clouds in production today alongside security-focused systems such as Qubes OS."
Qubes OS,Xen-Based Systems,,"Apr 2011, Sep 2012",https://www.qubes-os.org,GitHub: https://github.com/QubesOS,"Qubes OS calls itself, with deliberate modesty, ""A reasonably secure operating system"", built around a Security by Isolation approach on top of the Xen hypervisor; for example, it lets a user run their email, browser, and work documents each in their own separate, color-coded virtual machine, so that a compromise in one — say, a malicious email attachment — never reaches the others. Edward Snowden has publicly said he uses it."
FreeDOS,Experimental & Research Systems,,Project Start: Jun 1994; First Release: Sep 2006 (version 1.0),https://www.freedos.org,GitHub Kernel: https://github.com/FDOS/kernel; GitHub: https://github.com/FDOS; GitLab: https://gitlab.com/FreeDOS,"FreeDOS ""aims to be a complete, free, 100% MS-DOS compatible operating system"", started by Jim Hall in June 1994 the day after Microsoft announced it would stop selling MS-DOS; for example, people still use it today to run classic DOS games like DOOM on modern hardware, keep old business software running on an embedded till or cash register, or develop new DOS software from scratch."
ReactOS,Experimental & Research Systems,,Project Inception: 1996; First Release: Feb 1998,https://reactos.org,GitHub: https://github.com/reactos; Git Mirror: https://git.reactos.org,"ReactOS is ""a free open source operating system based on the design principals found"" in the Windows NT architecture, built entirely from scratch with no Microsoft code involved; for example, it aims for binary compatibility with real Windows applications and drivers, so programs written for Windows Server 2003 and later can, in principle, run unmodified — though the project remains in alpha and is recommended only for testing and evaluation rather than daily use."
Haiku,Experimental & Research Systems,,Aug 2001,https://www.haiku-os.org,Source Repository: https://git.haiku-os.org; GitHub Mirror: https://github.com/haiku,"Haiku describes itself on its own homepage as ""fast, simple to use, easy to learn and yet very powerful"", a community-driven continuation of the discontinued BeOS; for example, it reused BeOS's own Tracker file manager and Deskbar taskbar as open-sourced starting points, then rebuilt the rest of the operating system from scratch while still aiming for binary compatibility with the original BeOS API."
Redox OS,Experimental & Research Systems,,Apr 2015,https://www.redox-os.org,GitHub: https://github.com/redox-os; GitLab: https://gitlab.redox-os.org/redox-os/redox,"Redox OS is ""a complete Unix-like microkernel-based operating system written in Rust"", created in 2015 by Jeremy Soller with safety and reliability as its central design goals; for example, its RedoxFS filesystem borrows ZFS-like features such as copy-on-write and data integrity checking, and its relibc C library lets many existing C and C++ programs be recompiled for Redox with little to no modification."
SerenityOS,Experimental & Research Systems,,First Public Release: Oct 2018,https://serenityos.org,GitHub: https://github.com/SerenityOS,"SerenityOS calls itself ""a love letter to '90s user interfaces with a custom Unix-like core"", a graphical hobby operating system built from scratch in C++ by former Apple WebKit engineer Andreas Kling; for example, the project builds its own browser engine, window server, and userland applications entirely in-house rather than reusing existing Unix tooling, and it grew largely in public through Kling's own YouTube development videos."
macOS,Apple Platforms (Operating Systems & Services),Operating Systems,Jan 1984 (as the original Macintosh System Software); modern Unix-based line since Mar 2001 (as Mac OS X),https://www.apple.com/macos/,,"The current release, macOS Tahoe, carries Apple's own tagline ""Fresh faced. Timelessly Mac"" — Apple's desktop and laptop operating system for the Mac, built on the Unix-based Darwin core with a hybrid XNU kernel; for example, that same Darwin foundation is open-sourced separately, while the polished desktop layer on top of it has run continuously on Mac hardware since Mac OS X's debut in 2001, through Intel and now Apple Silicon chips alike."
iOS,Apple Platforms (Operating Systems & Services),Operating Systems,Jun 2007 (as iPhone OS 1.0),https://www.apple.com/ios/,,"Announcing the current release, Apple's own newsroom described iOS 26 as bringing ""a beautiful new design, intelligent experiences, and improvements to the apps users rely on every day"" — Apple's mobile operating system for the iPhone, originally called iPhone OS before being renamed iOS in 2010 to reflect its spread to other Apple devices; for example, the same underlying platform was adapted into iPadOS for the iPad and shares its core with watchOS and tvOS, letting Apple ship one connected ecosystem across phones, tablets, watches, and TVs."
Apple,Apple Platforms (Operating Systems & Services),Services,First Introduced: Apr 1976,https://www.apple.com/,GitHub: https://github.com/apple,"Apple's official website — under the banner of its long-running ""Think Different"" philosophy — showcases the company's products, from iPhone and Mac to iPad, alongside its services, support resources, and official company information; for example, apple.com is also where the company still marks its own milestones, having run a ""50 Years of Thinking Different"" retrospective tying its 2026 anniversary back to that same 1997 campaign."
Apple Account,Apple Platforms (Operating Systems & Services),Services,First Introduced: 2000,https://account.apple.com/,GitHub: https://github.com/apple,"An Apple Account — described in Apple's own support documentation as ""the account you use to access Apple Services like the App Store"" — is the unified sign-in behind every Apple device and service; for example, signing in with the same Apple Account on an iPhone, iPad, and Mac keeps purchases, subscriptions, and settings synced across all three, and the identifier was renamed from ""Apple ID"" to ""Apple Account"" to make that central role clearer."
iCloud,Apple Platforms (Operating Systems & Services),Services,Oct 2011,https://www.icloud.com,GitHub: https://github.com/apple,"iCloud's own homepage puts it simply: ""Log in to iCloud to access your photos, mail, notes, documents and more"" — Apple's cloud-based synchronization and storage platform; for example, a photo taken on an iPhone can appear moments later in the Photos app on a Mac or on iCloud.com from any browser, with edits and deletions kept in sync across every signed-in device."
Windows,Windows-Based Custom Systems (Debloated & Community Builds),,Nov 1985,https://www.microsoft.com/windows,,"Windows 11, per Microsoft's own announcement, ""is designed to bring you closer to what you love"" — the proprietary operating system family developed by Microsoft, with modern versions built on the Windows NT architecture; for example, the same NT-based core scales from a home laptop up to enterprise server fleets, and Windows remains the platform most PC games and business software are built against first."
Revision (ReviOS),Windows-Based Custom Systems (Debloated & Community Builds),,2019,https://www.revi.cc,GitHub: https://github.com/meetrevision,"ReviOS ""aspires to re-create what Windows as an operating system should have been — easy and simple"", a community-driven, debloated Windows configuration that strips unnecessary services and telemetry; for example, it disables Windows Defender and Windows Update by default (both re-enableable through its own built-in tool) to squeeze out extra performance and privacy, particularly for gaming and general desktop use."
AtlasOS,Windows-Based Custom Systems (Debloated & Community Builds),,2021,https://atlasos.net,GitHub: https://github.com/Atlas-OS/Atlas,"AtlasOS says of itself, ""Atlas brings life back to Windows, designed to maximize privacy, usability, and performance""; it is an open-source project that applies performance, privacy, and usability optimizations to Windows using scripted ""playbooks"" rather than a modified installer image; for example, its AME Wizard walks a user through toggling each optimization individually, so someone can keep Windows Defender and Windows Update active while still trimming background bloat."
Windows X-Lite,Windows-Based Custom Systems (Debloated & Community Builds),,"2022, 2023",https://windowsxlite.com,,"Windows X-Lite's own tagline describes its builds as ""designed to Enhance Performance, Privacy, Stability and Control""; it provides unofficial lightweight Windows images with many non-essential components and preinstalled apps removed, aimed at low-spec hardware; for example, its images are built to run unmodified on everything from old, weak laptops to modern gaming desktops, old or new, weak or strong."
Tiny11,Windows-Based Custom Systems (Debloated & Community Builds),,Feb 2023,https://ntdotdev.wordpress.com,GitHub: https://github.com/ntdevlabs/tiny11builder; Project Reference GitHub: https://github.com/ntdevlabs,"Tiny11 is a series of heavily trimmed-down Windows 11 builds and tools created by developer NTDEV, removing many default apps and features to cut disk footprint and memory use; for example, a full Tiny11 install can fit in around 8 GB of storage against Windows 11's usual 20 GB or more, letting the same modern OS run on hardware Microsoft's official system requirements would otherwise rule out. NTDEV has since moved primary blogging to ntdev.blog, though ntdotdev.wordpress.com remains live with the project's archive."
Nano11,Windows-Based Custom Systems (Debloated & Community Builds),,Sep 2025,https://ntdotdev.wordpress.com,GitHub: https://github.com/ntdevlabs/nano11; Project Reference GitHub: https://github.com/ntdevlabs,"Nano11 is NTDEV's even more extreme follow-up to Tiny11, an experimental, minimal Windows 11 build stripped down to little more than its essential components; for example, independent testing has shrunk a Nano11 install to as little as 2.8 GB — about 3.5 times smaller than Tiny11 itself — making it intended strictly for constrained or test environments rather than everyday use."
